			PltRpt=1 Group=1 Copy of US LUM 384 (cps)(1) De=USLum Ex=N/A Em=N/A Wdw=N/A				PltRpt=1 Crosstalk = Crosstalk correction where Label : Copy of US LUM 384 (cps)(1) channel 1					
Plate	Barcode	Well	CalcResultI	Signal	Flashes/Time	MeasTime	CalcResultI	Signal		MeasTime		
1		L18	161060	32212	0.2	00:01:20.344	161060	0	0	0		
1		L19	260380	52076	0.2	00:01:20.047	260380	0	0	0		
1		L20	158120	31624	0.2	00:01:19.750	158120	0	0	0		
1		L21	186640	37328	0.2	00:01:19.453	186640	0	0	0		
1		L22	167080	33416	0.2	00:01:19.156	167080	0	0	0		
1		L23	190340	38068	0.2	00:01:18.875	190340	0	0	0		
1		L24	158560	31712	0.2	00:01:18.578	158560	0	0	0		
1		M01	139700	27940	0.2	00:01:25.719	139700	0	0	0		
1		M02	115000	23000	0.2	00:01:26.015	115000	0	0	0		
1		M03	96000	19200	0.2	00:01:26.312	96000	0	0	0		
1		M04	110340	22068	0.2	00:01:26.594	110340	0	0	0		
1		M05	129540	25908	0.2	00:01:26.890	129540	0	0	0		
1		M06	111160	22232	0.2	00:01:27.187	111160	0	0	0		
1		M07	114140	22828	0.2	00:01:27.484	114140	0	0	0		
1		M08	281220	56244	0.2	00:01:27.781	281220	0	0	0		
1		M09	150640	30128	0.2	00:01:28.078	150640	0	0	0		
1		M10	88020	17604	0.2	00:01:28.375	88020	0	0	0		
1		M11	119700	23940	0.2	00:01:28.672	119700	0	0	0		
1		M12	124120	24824	0.2	00:01:28.969	124120	0	0	0		
1		M13	136360	27272	0.2	00:01:29.250	136360	0	0	0		
1		M14	193800	38760	0.2	00:01:29.547	193800	0	0	0		
1		M15	139880	27976	0.2	00:01:29.844	139880	0	0	0		
1		M16	122500	24500	0.2	00:01:30.140	122500	0	0	0		
1		M17	139300	27860	0.2	00:01:30.437	139300	0	0	0		
1		M18	150140	30028	0.2	00:01:30.734	150140	0	0	0		
1		M19	173300	34660	0.2	00:01:31.031	173300	0	0	0		
1		M20	158400	31680	0.2	00:01:31.328	158400	0	0	0		
1		M21	164220	32844	0.2	00:01:31.609	164220	0	0	0		
1		M22	149760	29952	0.2	00:01:31.906	149760	0	0	0		
1		M23	151860	30372	0.2	00:01:32.203	151860	0	0	0		
1		M24	158740	31748	0.2	00:01:32.500	158740	0	0	0		
1		N01	171420	34284	0.2	00:01:39.640	171420	0	0	0		
1		N02	152940	30588	0.2	00:01:39.359	152940	0	0	0		
1		N03	139600	27920	0.2	00:01:39.062	139600	0	0	0		
1		N04	141260	28252	0.2	00:01:38.765	141260	0	0	0		
1		N05	136000	27200	0.2	00:01:38.469	136000	0	0	0		
1		N06	157300	31460	0.2	00:01:38.172	157300	0	0	0		
1		N07	134940	26988	0.2	00:01:37.875	134940	0	0	0		
1		N08	149260	29852	0.2	00:01:37.578	149260	0	0	0		
1		N09	140680	28136	0.2	00:01:37.281	140680	0	0	0		
1		N10	116580	23316	0.2	00:01:37.000	116580	0	0	0		
1		N11	147820	29564	0.2	00:01:36.703	147820	0	0	0		
1		N12	113260	22652	0.2	00:01:36.406	113260	0	0	0		
1		N13	124680	24936	0.2	00:01:36.109	124680	0	0	0		
1		N14	112180	22436	0.2	00:01:35.812	112180	0	0	0		
1		N15	155360	31072	0.2	00:01:35.515	155360	0	0	0		
1		N16	110280	22056	0.2	00:01:35.219	110280	0	0	0		
1		N17	175880	35176	0.2	00:01:34.922	175880	0	0	0		
1		N18	25660	5132	0.2	00:01:34.640	25660	0	0	0		
1		N19	23200	4640	0.2	00:01:34.344	23200	0	0	0		
1		N20	30240	6048	0.2	00:01:34.047	30240	0	0	0		
1		N21	30540	6108	0.2	00:01:33.750	30540	0	0	0		
1		N22	143720	28744	0.2	00:01:33.453	143720	0	0	0		
1		N23	157300	31460	0.2	00:01:33.156	157300	0	0	0		
1		N24	162680	32536	0.2	00:01:32.859	162680	0	0	0		
1		O01	148240	29648	0.2	00:01:40.000	148240	0	0	0		
1		O02	409480	81896	0.2	00:01:40.297	409480	0	0	0		
1		O03	203460	40692	0.2	00:01:40.594	203460	0	0	0		
1		O04	141080	28216	0.2	00:01:40.890	141080	0	0	0		
1		O05	156180	31236	0.2	00:01:41.187	156180	0	0	0		
1		O06	153080	30616	0.2	00:01:41.484	153080	0	0	0		
1		O07	153340	30668	0.2	00:01:41.781	153340	0	0	0		
1		O08	170320	34064	0.2	00:01:42.078	170320	0	0	0		
1		O09	154780	30956	0.2	00:01:42.359	154780	0	0	0		
1		O10	154540	30908	0.2	00:01:42.656	154540	0	0	0		
1		O11	196120	39224	0.2	00:01:42.953	196120	0	0	0		
1		O12	208340	41668	0.2	00:01:43.250	208340	0	0	0		
1		O13	112980	22596	0.2	00:01:43.547	112980	0	0	0		
1		O14	154780	30956	0.2	00:01:43.844	154780	0	0	0		
1		O15	152720	30544	0.2	00:01:44.140	152720	0	0	0		
1		O16	117900	23580	0.2	00:01:44.437	117900	0	0	0		
1		O17	122320	24464	0.2	00:01:44.719	122320	0	0	0		
1		O18	90300	18060	0.2	00:01:45.015	90300	0	0	0		
1		O19	77320	15464	0.2	00:01:45.312	77320	0	0	0		
1		O20	79960	15992	0.2	00:01:45.609	79960	0	0	0		
1		O21	65220	13044	0.2	00:01:45.906	65220	0	0	0		
1		O22	161740	32348	0.2	00:01:46.203	161740	0	0	0		
1		O23	186280	37256	0.2	00:01:46.500	186280	0	0	0		
1		O24	190720	38144	0.2	00:01:46.797	190720	0	0	0		
1		P01	161640	32328	0.2	00:01:53.937	161640	0	0	0		
1		P02	132940	26588	0.2	00:01:53.640	132940	0	0	0		
1		P03	130240	26048	0.2	00:01:53.344	130240	0	0	0		
1		P04	227860	45572	0.2	00:01:53.047	227860	0	0	0		
1		P05	156080	31216	0.2	00:01:52.765	156080	0	0	0		
1		P06	183480	36696	0.2	00:01:52.469	183480	0	0	0		
1		P07	149260	29852	0.2	00:01:52.172	149260	0	0	0		
1		P08	170360	34072	0.2	00:01:51.875	170360	0	0	0		
1		P09	113060	22612	0.2	00:01:51.578	113060	0	0	0		
1		P10	133180	26636	0.2	00:01:51.281	133180	0	0	0		
1		P11	172140	34428	0.2	00:01:50.984	172140	0	0	0		
1		P12	165520	33104	0.2	00:01:50.687	165520	0	0	0		
1		P13	158420	31684	0.2	00:01:50.390	158420	0	0	0		
1		P14	184580	36916	0.2	00:01:50.109	184580	0	0	0		
1		P15	131680	26336	0.2	00:01:49.812	131680	0	0	0		
1		P16	218660	43732	0.2	00:01:49.515	218660	0	0	0		
1		P17	169760	33952	0.2	00:01:49.219	169760	0	0	0		
1		P18	189960	37992	0.2	00:01:48.922	189960	0	0	0		
1		P19	197600	39520	0.2	00:01:48.625	197600	0	0	0		
1		P20	145240	29048	0.2	00:01:48.328	145240	0	0	0		
1		P21	147880	29576	0.2	00:01:48.047	147880	0	0	0		
1		P22	215840	43168	0.2	00:01:47.750	215840	0	0	0		
1		P23	173200	34640	0.2	00:01:47.453	173200	0	0	0		
1		P24	232020	46404	0.2	00:01:47.156	232020	0	0	0		

Exported with EnVision Workstation version 1.08 Rev.2
